word,count
racun,369
ada,329
anak,303
sekolah,226
buat,226
makan,222
bisa,176
rakyat,164
banyak,164
guru,149
anggar,148
lebih,145
tidak,144
orang,136
harus,125
bukan,124
apa,124
negara,120
pak,114
sama,113
perintah,112
didik,103
dapur,103
presiden,102
hari,99
semua,99
baik,97
siswa,94
bagi,93
bikin,92
dia,91
indonesia,89
jadi,89
mau,89
dpr,88
menu,88
kerja,84
prabowo,83
dana,81
jabat,79
saya,78
stop,77
gaji,77
mereka,75
cuma,75
masih,74
akan,73
uang,73
gizi,73
dapat,73
tuh,73
kasus,70
pajak,69
dalam,67
naik,65
kita,65
satu,65
terus,65
kata,64
baru,63
pasti,62
salah,61
korban,60
sampai,59
soal,59
mana,59
tiap,59
kasih,59
lain,58
malah,58
korupsi,57
minta,57
duit,56
lah,55
besar,55
seperti,54
dulu,54
masuk,53
aku,53
adalah,53
jangan,52
bagai,51
guna,51
hanya,50
henti,49
bgn,49
mungkin,49
masalah,49
punya,49
sehat,48
september,47
daerah,47
proyek,47
cara,46
hasil,46
tunjang,46
suruh,46
tau,46
ikn,46
kenapa,46
